N,location,province_sigla,alt_m,theta_max_C,delta_theta_max_C,ur_max_pct,mese_piu_caldo,lat_geocoded,lon_geocoded
1,Agrigento,AG,230.0,33.0,10.0,40.0,Luglio - agosto,37.3125,13.575
2,Alessandria,AL,95.0,30.5,11.0,50.0,Luglio,44.9243986,8.6978045
3,Ancona,AN,16.0,31.0,5.5,58.0,Agosto,45.9925637,13.479856
4,Aosta,AO,583.0,28.7,13.0,50.0,Luglio,45.7474199,7.3561685
5,Ascoli Piceno,AP,154.0,32.9,10.0,45.0,Luglio - agosto,44.5538936,10.2848086
6,L'Aquila,AQ,714.0,29.1,10.0,50.0,Luglio,42.1368853,13.610341022538911
7,Arezzo,AR,246.0,31.5,12.0,50.0,Luglio,43.46305555555556,11.878055555555555
8,Asti,AT,123.0,32.1,11.0,50.0,Luglio - agosto,44.82601265,8.202686328987273
9,Avellino,AV,348.0,30.1,10.0,50.0,Luglio - agosto,41.044919,14.998744
10,Bari,BA,5.0,32.3,8.0,50.0,Luglio,41.0241649,16.7095806
11,Bergamo,BG,249.0,31.0,13.0,50.0,Luglio,45.69499999999999,9.67
12,Belluno,BL,383.0,31.1,13.0,45.0,Luglio - agosto,46.0163755,11.9062541
13,Benevento,BN,135.0,32.2,11.0,50.0,Luglio - agosto,41.0610225,14.5584304
14,Bologna,BO,54.0,33.0,12.0,43.0,Luglio - agosto,44.4938203,11.3426327
15,Brindisi,BR,15.0,31.5,8.0,60.0,Luglio - agosto,40.638333333333335,17.945833333333333
16,Brescia,BS,149.0,31.8,15.0,48.0,Luglio,45.4315539,10.0392722
17,Bolzano,BZ,262.0,31.4,13.0,45.0,Luglio,46.65594545,11.23021287087526
18,Cagliari,CA,4.0,32.1,9.0,52.0,Luglio - agosto,39.311738,8.968841
19,Campobasso,CB,701.0,29.6,9.0,50.0,Agosto,41.517928,14.798734
20,Caserta,CE,68.0,32.1,11.0,50.0,Luglio,41.164116,14.216925
21,Chieti,CH,330.0,29.4,10.0,53.0,Luglio,42.10269285,14.41590530501923
22,Caltanissetta,CL,568.0,34.0,9.0,35.0,Luglio,37.0664363,14.2502445
23,Cuneo,CN,534.0,29.0,12.0,55.0,Luglio,44.3296258,7.5518938
24,Como,CO,201.0,32.0,8.0,50.0,Luglio,45.7282151,9.07841474284282
25,Cremona,CR,45.0,33.0,12.0,45.0,Luglio,45.444075,9.643258
26,Cosenza,CS,238.0,33.6,8.0,40.0,Luglio,39.3,16.25
27,Catania,CT,7.0,33.6,10.0,48.0,Luglio - agosto,37.5023612,15.0873718
28,Catanzaro,CZ,320.0,33.0,10.0,40.0,Agosto,38.680383,16.410603
29,Enna,EN,931.0,29.2,7.0,40.0,Luglio - agosto,37.5667573,14.2807473
30,Ferrara,FE,9.0,32.2,12.0,45.0,Luglio,44.76676425,11.827938995640167
31,Foggia,FG,76.0,33.9,13.0,33.0,Luglio,41.46183333333334,15.552480555555556
32,Firenze,FI,40.0,33.6,13.0,45.0,Luglio,43.7698712,11.2555757
